iter	Passed	Remaining
0	486	14581224
1	955	14326093
2	1358	13586632
3	1817	13629409
4	2455	14728484
5	3219	16094718
6	3926	16824331
7	4682	17552942
8	5224	17410867
9	5754	17256530
10	6167	16814491
11	6603	16501933
12	7029	16215351
13	7457	15973414
14	7923	15838425
15	8355	15657283
16	8849	15608632
17	9234	15382336
18	9692	15294694
19	10210	15306110
20	10797	15414026
21	11376	15502668
22	11941	15564122
23	12480	15588455
24	13044	15640375
25	13612	15692676
26	14099	15652052
27	14566	15592584
28	15016	15519302
29	15485	15469799
30	15925	15395811
31	16371	15332051
32	16824	15278206
33	17243	15197305
34	17696	15150358
35	18230	15174064
36	18780	15208522
37	19348	15255809
38	19913	15298499
39	20449	15316853
40	21036	15371882
41	21565	15382467
42	22023	15343215
43	22453	15286554
44	22857	15215416
45	23269	15152231
46	23702	15105308
47	24145	15066725
48	24611	15043620
49	25056	15008917
50	25460	14951530
51	25991	14969131
52	26573	15015245
53	27108	15033429
54	27626	15041195
55	28192	15074834
56	28724	15089361
57	29322	15137580
58	29895	15171060
59	30338	15138768
60	30754	15094575
61	31196	15064110
62	31635	15032872
63	32060	14996123
64	32490	14962948
65	32933	14937062
66	33351	14900323
67	33765	14862604
68	34291	14874849
69	34833	14893694
70	35379	14913755
71	36022	14973294
72	36592	15001609
73	37151	15024192
74	37713	15047667
75	38236	15055174
76	38760	15062727
77	39394	15112272
78	39890	15108290
79	40326	15081983
80	40777	15061967
81	41211	15036181
82	41662	15017252
83	42077	14985686
84	42534	14969496
85	42959	14942921
86	43386	14917568
87	43903	14923210
88	44414	14926844
89	44965	14943524
90	45552	14971692
91	46065	14975281
92	46623	14993223
93	47227	15025357
94	47754	15032525
95	48201	15014841
96	48655	14999299
97	49126	14989700
98	49557	14967961
99	49993	14948007
100	50424	14927039
101	50849	14905032
102	51271	14882146
103	51773	14882846
104	52302	14891410
105	52873	14911225
106	53448	14932163
107	54000	14946234
108	54608	14975215
109	55153	14986819
110	55669	14990245
111	56085	14966731
112	56526	14950413
113	56945	14928719
114	57339	14900674
115	57763	14881073
116	58163	14855662
117	58601	14839981
118	59031	14822940
119	59457	14804913
120	60011	14818966
121	60586	14837717
122	61177	14860053
123	61725	14871804
124	62251	14878024
125	62823	14895267
126	63361	14903868
127	63843	14899571
128	64271	14882607
129	64706	14867449
130	65134	14851262
131	65610	14845770
132	66017	14825080
133	66451	14810709
134	66855	14789907
135	67331	14785298
136	68017	14826364
137	68574	14838912
138	69137	14852621
139	69687	14863381
140	70278	14882601
141	70828	14893041
142	71362	14899884
143	71829	14892614
144	72252	14876477
145	72709	14867514
146	73121	14849606
147	73543	14833996
148	74009	14827280
149	74424	14810475
150	74877	14801354
151	75327	14791984
152	75874	14801435
153	76437	14813984
154	76983	14822975
155	77518	14829920
156	78092	14843994
157	78638	14852650
158	79157	14856196
159	79661	14856905
160	80164	14857260
161	80614	14847934
162	81092	14843973
163	81521	14830909
164	81945	14817325
165	82355	14801225
166	82791	14789996
167	83211	14775897
168	83680	14770887
169	84226	14779305
170	84752	14784096
171	85339	14799388
172	85895	14809305
173	86418	14813387
174	86981	14824215
175	87465	14821420
176	87935	14816470
177	88347	14801724
178	88787	14791751
179	89243	14784614
180	89666	14772210
181	90109	14763142
182	90573	14757594
183	90994	14745139
184	91398	14729931
185	91920	14734042
186	92530	14751964
187	93100	14763358
188	93688	14777450
189	94282	14792386
190	94822	14798702
191	95411	14812679
192	95958	14819860
193	96526	14830225
194	97084	14839050
195	97554	14834209
196	97984	14823437
197	98430	14815264
198	98847	14802745
199	99306	14796673
200	99731	14785538
201	100151	14773820
202	100554	14759654
203	100966	14747065
204	101486	14750174
205	102028	14756519
206	102558	14760957
207	103173	14777553
208	103795	14795110
209	104387	14808084
210	104927	14813656
211	105431	14814086
212	105850	14802634
213	106309	14796832
214	106734	14786509
215	107197	14781284
216	107651	14774979
217	108082	14765631
218	108535	14759402
219	108941	14746749
220	109407	14742326
221	109956	14749032
222	110503	14755484
223	111045	14761078
224	111815	14796930
225	112462	14816244
226	113005	14821684
227	113479	14818050
228	113988	14818946
229	114475	14817095
230	115023	14823082
231	115457	14814375
232	116008	14820739
233	116563	14827467
234	117009	14820394
235	117496	14818504
236	118027	14822166
237	118582	14828774
238	119179	14840604
239	119713	14844485
240	120288	14853356
241	120797	14854154
242	121354	14860737
243	121788	14852208
244	122213	14842719
245	122671	14837233
246	123123	14831121
247	123569	14824315
248	124040	14820590
249	124468	14811692
250	124911	14804749
251	125430	14806810
252	126004	14815249
253	126551	14820433
254	127078	14823275
255	127612	14826994
256	128164	14832614
257	128689	14835259
258	129215	14837887
259	129644	14829378
260	130057	14819056
261	130474	14809318
262	130912	14802071
263	131352	14795052
264	131818	14790978
265	132261	14784461
266	132694	14776826
267	133100	14766191
268	133590	14765012
269	134127	14768947
270	134659	14772273
271	135243	14781356
272	135749	14781768
273	136283	14785294
274	136831	14790266
275	137352	14792301
276	137764	14782599
277	138200	14775506
278	138612	14765977
279	139037	14757795
280	139454	14748943
281	139874	14740359
282	140339	14736600
283	140782	14730580
284	141209	14722984
285	141739	14726017
286	142309	14733290
287	142850	14737460
288	143396	14742096
289	144013	14753905
290	144571	14759750
291	145109	14763430
292	145582	14760520
293	146008	14752815
294	146464	14748197
295	146903	14741940
296	147322	14733741
297	147745	14725913
298	148205	14721933
299	148643	14715660
300	149094	14710805
301	149525	14703994
302	149974	14698996
303	150411	14692816
304	150853	14687147
305	151296	14681663
306	151851	14687014
307	152376	14689522
308	152976	14699105
309	153476	14699125
310	154018	14703041
311	154583	14709178
312	155136	14714211
313	155613	14711925
314	156050	14705874
315	156465	14697817
316	156898	14691511
317	157369	14688842
318	157792	14681644
319	158218	14674783
320	158651	14668552
321	159080	14662050
322	159533	14657841
323	160065	14660810
324	160642	14667884
325	161185	14671875
326	161743	14677151
327	162356	14687298
328	162889	14690243
329	163386	14689894
330	163821	14684043
331	164245	14677200
332	164654	14669101
333	165098	14664140
334	165520	14657194
335	165926	14648912
336	166350	14642308
337	166791	14637183
338	167237	14632558
339	167760	14634599
340	168317	14639713
341	168858	14643299
