ANTI_EMIS_MESES|IM_VENTA_SOL|MARCA|NOMBRE_CORTO|Nombre_territorio|FLAG_LIMA_PROVINCIA|REGION|SUELDO_ESTIMADO|EDAD|SEXO|STATUS_BBVA|ANTIGUEDAD_MES|FLAG_CLIENTE_CORPORATIVO_BBVA|SEGMENTO_LOCAL|FLAG_SS
2|5000|Visa|PLATINUM|T.CENTRO|0|SIERRA CENTRAL|1000|24|F|A|28|1|CLASICO|
2|750|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA MODERNA|2309.875|30|F|A|146|1|CLASICO|
2|12000|Visa|SIGNATURE LIFEMILES|T.CENTRO|0|CENTRO|6541|39|M|A|24|1|CLASICO|
2|2200|Visa|CLASICA|T.LIMA RESIDENCIAL|0|NORTE|2196.3299999999999|28|M|A|10|1|INCLUSION FINANCIERA  |
2|5000|Visa|ORO LIFEMILES|T.CENTRO|1|LIMA ESTE|578|41|M|||0||
2|2400|Visa|ORO LIFEMILES|T.CENTRO|0|CENTRO|899|28|M|A|76|1|CLASICO|
2|6500|Visa|PLATINUM LIFEMILES|T.CENTRO|0|CENTRO|918.5|30|M|A|36|1|CLASICO|
2|14000|Visa|PLATINUM LIFEMILES|T.CENTRO|0|CENTRO|2907.875|31|M|||0||
2|32500|Visa|SIGNATURE|T.NORTE|0|NORTE|7223.4399999999996|41|F|A|100|1|CLASICO|
2|1600|Visa|CLASICA|T.NORTE SUR CHICO|0|NORTE|1651.3299999999999|48|M|A|133|1|CLASICO|
2|7400|Visa|PLATINUM LIFEMILES|T.NORTE SUR CHICO|0|NORTE|1698.75|38|M|A|13|1|INCLUSION FINANCIERA  |
2|12000|Visa|SIGNATURE LIFEMILES|T.NORTE SUR CHICO|0|NORTE|578|59|M|A|208|1|INCLUSION FINANCIERA  |
2|1100|Visa|ARCANGEL|T.NOR ORIENTE|0|ORIENTE|903.33000000000004|28|M|A|27|1|CLASICO|
2|7100|Visa|PLATINUM LIFEMILES|T.NOR ORIENTE|1|LIMA NORTE|525|51|M|A|156|1|CLASICO|
2|5000|Visa|PLATINUM|T.CALLAO SAN MIGUEL|1|LIMA MODERNA|5594|53|M|A|238|1|PNN 2 ALTO VALOR|
2|3000|Visa|ORO|T.CALLAO SAN MIGUEL|1|LIMA CENTRO|724.5|34|M|A|1|1|CLASICO|
2|4150|Visa|ORO|T.CALLAO SAN MIGUEL|1|LIMA NORTE|1912|39|M|A|173|1|CLASICO|
2|10000|Visa|PLATINUM LIFEMILES|T.NORTE SUR CHICO|1|LIMA PROVINCIA|7883|44|F|||0||
2|3000|Visa|ORO LIFEMILES|T.NORTE SUR CHICO|1|LIMA PROVINCIA|1567.75|56|F|||0||
2|7500|Visa|PLATINUM|T.CENTRO|0|SIERRA CENTRAL|1415.875|28|F|A|55|1|CLASICO|
2|2500|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|CALLAO|5902.5600000000004|35|M|A|123|1|CLASICO|
2|920|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|CALLAO|1276|28|F|A|57|1|CLASICO|
2|1000|Visa|CLASICA|T.NORTE SUR CHICO|0|NORTE|1611|47|M|A|149|1|CLASICO|
2|5700|Visa|PLATINUM|T.CENTRO|1|LIMA CENTRO|700|36|F|A|1|1|INCLUSION FINANCIERA  |
2|10200|Visa|PLATINUM LIFEMILES|T.CENTRO|0|SIERRA CENTRAL|1407|61|F|A|9|1|INCLUSION FINANCIERA  |
2|1500|Visa|CLASICA|T.CENTRO|0|SIERRA CENTRAL|1545.3800000000001|33|F|A|24|1|CLASICO|
2|5000|Visa|PLATINUM LIFEMILES|T.CENTRO|0|CENTRO|1285|27|F|A|31|1|CLASICO|
2|9900|Visa|PLATINUM|T.CENTRO|0|SIERRA CENTRAL|682.66999999999996|61|M|A|14|1|PNN 0  |
2|700|Visa|CLASICA|T.LIMA RESIDENCIAL|1|LIMA ESTE|2069|33|M|A|67|1|CLASICO|
2|1200|Visa|CLASICA|T.NOR ORIENTE|0|ORIENTE|5841|28|F|A|57|1|CLASICO|
2|3000|Visa|ORO LIFEMILES|T.NOR ORIENTE|1|LIMA CENTRO|676.5|26|F|A|19|1|INCLUSION FINANCIERA  |
2|10000|Visa|PLATINUM|T.LIMA RESIDENCIAL|1|LIMA MODERNA|3874.3800000000001|32|M|A|45|1|VIP|
2|5500|Visa|NACIONAL|T.LIMA RESIDENCIAL|1|LIMA ESTE|1495.125|28|M|A|55|1|CLASICO|
2|700|Visa|CLASICA|T.NOR ORIENTE|0|ORIENTE|1203.75|28|M|A|22|1|CLASICO|
2|12000|Visa|SIGNATURE LIFEMILES|T.NOR ORIENTE|0|ORIENTE|2850|31|F|A|55|1|CLASICO|
2|5000|Visa|CLASICA|T.NORTE SUR CHICO|1|LIMA SUR|2099.8899999999999|25|M|A|40|1|CLASICO|
2|700|Visa|CLASICA|T.NOR ORIENTE|0|ORIENTE|242|48|F|A|186|1|CLASICO|
2|700|Visa|ARCANGEL|T.NORTE SUR CHICO|1|LIMA ESTE|2091|32|M|A|51|1|CLASICO|
2|2000|Visa|ORO LIFEMILES|T.NORTE SUR CHICO|1|LIMA PROVINCIA|2379.375|52|M|||0||
2|18000|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA CENTRO|3496.2199999999998|36|F|A|218|1|CLASICO|
2|800|Visa|CLASICA|T.LINCE|1|LIMA CENTRO|1851.875|30|F|A|22|1|CLASICO|
2|15000|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA CENTRO|8117|35|M|A|117|1|VIP|
2|5000|Visa|PLATINUM LIFEMILES|T.LINCE|1|LIMA ESTE|2295.2199999999998|30|M|A|99|1|CLASICO|
2|12000|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA MODERNA|10500|31|F|A|3|1|VIP|
2|39000|Visa|SIGNATURE LIFEMILES|T.CALLAO SAN MIGUEL|1|CALLAO|12501|55|M|A|244|1|VIP|
2|3000|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|CALLAO|525|54|F|A|2|1|INCLUSION FINANCIERA  |
2|26000|Visa|SIGNATURE LIFEMILES|T.NORTE SUR CHICO|0|SUR|2905|30|F|A|117|1|CLASICO|
2|3500|Visa|ORO LIFEMILES|T.NORTE SUR CHICO|1|LIMA CENTRO|2025.125|30|M|A|117|1|CLASICO|
2|5000|Visa|PLATINUM LIFEMILES|T.SURCO LA MOLINA|1|LIMA NORTE|525|37|F|A|116|1|CLASICO|
2|11500|Visa|PLATINUM|T.SURCO LA MOLINA|0|NORTE|2922|32|F|||0||
2|23500|Visa|SIGNATURE LIFEMILES|T.LIMA CENTRO|1|LIMA CENTRO|3903|52|F|A|18|1|CLASICO|
2|1000|Visa|CLASICA|T.LIMA CENTRO|1|LIMA MODERNA|1925.875|28|F|A|78|1|CLASICO|
2|3300|Visa|ORO|T.CALLAO SAN MIGUEL|1|CALLAO|1468.75|27|M|A|34|1|CLASICO|
2|10000|Visa|PLATINUM LIFEMILES|T.NORTE SUR CHICO|0|NORTE|4416|42|M|||0||
2|15000|Visa|SIGNATURE|T.NORTE SUR CHICO|0|NORTE|5349.1099999999997|43|M|A|211|1|CLASICO|
2|1000|Visa|CLASICA|T.NORTE SUR CHICO|0|NORTE|1840.5|38|M|A|1|1|CLASICO|
2|6500|Visa|PLATINUM|T.CENTRO|0|SIERRA CENTRAL|2053.3299999999999|36|M|A|7|1|CLASICO|
2|3700|Visa|ORO|T.NORTE|0|NORTE|2240|59|M|A|108|1|CLASICO|
2|11500|Visa|PLATINUM|T.NORTE|0|NORTE|903.66999999999996|62|M|A|194|1|CLASICO|1
2|2000|Visa|ORO LIFEMILES|T.NORTE|1|LIMA MODERNA|1821.5599999999999|27|M|A|25|1|CLASICO|
2|7600|Visa|PLATINUM|T.SUR|0|SIERRA CENTRAL|2573|47|F|A|148|1|CLASICO|
2|12500|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA ESTE|2450|30|M|||0||
2|5300|Visa|PLATINUM|T.LINCE|1|LIMA ESTE|1123.8900000000001|24|F|A|26|1|CLASICO|
2|2000|Visa|PLATINUM|T.SURCO LA MOLINA|1|LIMA SUR|2185.875|39|F|A|4|1|CLASICO|
2|850|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA MODERNA|3055.3299999999999|30|F|A|60|1|CLASICO|
2|2000|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA ESTE|1516.875|28|F|A|53|1|INCLUSION FINANCIERA  |
2|4000|Visa|ORO|T.SURCO LA MOLINA|1|LIMA MODERNA|1131|44|F|A|171|1|CLASICO|
2|4400|Visa|ORO LIFEMILES|T.CALLAO SAN MIGUEL|1|CALLAO|1210.1700000000001|62|M|A|23|1|INCLUSION FINANCIERA  |
2|2000|Visa|ORO LIFEMILES|T.LIMA CENTRO|1|LIMA CENTRO|4636|33|F|A|180|1|CLASICO|
2|1000|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|LIMA MODERNA||29|M|A|25|1|INCLUSION FINANCIERA  |
2|5000|Visa|PLATINUM|T.SUR|0|SIERRA CENTRAL|2153|37|F|A|143|1|CLASICO|
2|12000|Visa|SIGNATURE LIFEMILES|T.LINCE|1|LIMA CENTRO|700|45|F|A|194|1|VIP|
2|25000|Visa|SIGNATURE|T.LINCE|1|LIMA MODERNA|6314|37|F|A|220|1|CLASICO|
2|700|Visa|CLASICA|T.NORTE SUR CHICO|1|LIMA ESTE|1380|32|M|A|62|1|PNN 0  |
2|3000|Visa|CLASICA|T.NORTE SUR CHICO|1|LIMA NORTE|589|43|F|||0||
2|12000|Visa|SIGNATURE LIFEMILES|T.SURCO LA MOLINA|0|NORTE|1273|57|F|A|9|1|INCLUSION FINANCIERA  |
2|800|Visa|CLASICA|T.SURCO LA MOLINA|1|LIMA MODERNA|150|22|F|A|47|1|INCLUSION FINANCIERA  |
2|9100|Visa|PLATINUM LIFEMILES|T.SURCO LA MOLINA|1|LIMA ESTE|2833|44|M|||0||
2|12000|Visa|SIGNATURE LIFEMILES|T.SURCO LA MOLINA|1|LIMA MODERNA|8500|27|M|A|40|1|CLASICO|
2|2000|Visa|NACIONAL|T.LINCE|1|LIMA MODERNA|1463.75|27|M|A|29|1|CLASICO|
2|9000|Visa|PLATINUM LIFEMILES|T.MIRAFLORES S.BORJA|1|LIMA CENTRO|1800|30|M|A|17|1|CLASICO|
2|5000|Visa|PLATINUM|T.NORTE SUR CHICO|1|LIMA NORTE||39|M|A|73|1|INCLUSION FINANCIERA  |
2|700|Visa|CLASICA|T.LIMA RESIDENCIAL|1|LIMA CENTRO||58|F|A|2|1|INCLUSION FINANCIERA  |
2|700|Visa|ARCANGEL|T.LIMA SUR|1|LIMA SUR|578|55|F|A|39|1|CLASICO|
2|5000|Visa|PLATINUM|T.LIMA CENTRO|1|LIMA ESTE|7475.5|26|F|A|73|1|CLASICO|
2|2000|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|CALLAO||43|F|A|1|1|INCLUSION FINANCIERA  |
2|700|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|CALLAO|1703.8599999999999|27|M|A|58|1|CLASICO|
2|1000|Visa|ARCANGEL|T.CALLAO SAN MIGUEL|1|CALLAO|1095.5|23|M|A|51|1|CLASICO|
2|3000|Visa|CLASICA|T.CALLAO SAN MIGUEL|1|LIMA ESTE||26|M|A|1|1|INCLUSION FINANCIERA  |
