credito	renta	nivelendeu
0	3	0.3
0	3.1	1.2
0	3.2	0.4
0	3.5	0.4
1	3.8	0.1
0	4.1	0.6
0	4.2	2.9
0	4.3	3.9
1	4.4	0.1
1	4.5	0.6
0	4.6	2.3
1	4.6	0.5
0	4.7	3.8
1	4.8	0.1
0	4.8	3
0	4.9	3.5
0	5	4.1
1	5.1	0.3
1	5.2	1.4
0	5.2	5.5
1	5.3	2.1
1	5.4	3.2
1	5.4	0.1
1	5.5	0.6
1	5.6	3.4
1	5.7	0.3
1	5.8	2.8
1	5.9	1.5
0	6	7.4
1	6.2	0.5
1	6.3	3.2
0	6.4	4.3
1	6.5	3.4
1	6.6	1.5
1	6.7	0.4
1	6.9	1.5
1	7.1	2.1
0	7.3	9.5
1	7.4	5.4
1	7.8	1.7
1	8	6.2
0	8.2	9.8
1	8.4	0.1
1	8.8	1.4
0	9.1	9.5
1	9.5	1.4
1	9.8	1.3
1	9.9	4.5
