Morosidad	Destino	NuevoRes	NumImpag	Salario	Empleo	Carga
0	0	0	0	18.047	2	1
1	0	1	0	12.04	1	1
1	2	0	0	16.237	3	0
1	0	1	2	11.67	8	0
0	2	0	0	11.674	8	1
0	0	0	0	17.786	9	0
0	1	1	0	12.591	1	1
0	1	1	0	19.416	3	2
0	1	1	0	18.149	8	1
0	1	0	0	18.223	1	1
0	1	0	1	18.504	2	1
1	0	0	0	13.499	1	3
0	0	0	0	17.87	1	2
0	1	1	0	15.187	1	2
1	2	0	1	15.064	2	1
0	0	1	1	16.303	1	2
0	1	1	0	11.882	2	2
0	1	0	0	14.164	2	0
0	1	0	0	19.224	3	1
0	2	1	0	14.898	2	1
0	2	1	2	16.009	2	3
0	1	0	1	14.273	2	1
0	2	1	0	17.359	9	1
0	2	1	0	14.648	3	2
0	2	0	0	14.67	3	2
0	2	0	0	18.162	2	1
0	1	1	0	14.665	9	0
0	0	0	0	12.902	6	0
0	0	1	0	14.998	9	1
0	0	0	0	16.723	2	3
0	1	1	0	9.532	9	1
0	0	0	0	19.69	1	1
0	0	0	0	19.003	4	1
0	1	1	0	18.157	7	1
0	1	1	0	12.634	9	0
0	2	0	0	13.19	3	1
1	1	0	0	10.977	2	1
0	1	1	0	15.974	4	0
0	1	0	0	8.435	2	1
1	0	0	1	19.495	4	1
0	1	0	0	10.081	1	2
1	2	1	1	12.9	1	1
0	1	1	0	11.973	1	0
1	1	0	0	11.791	2	3
1	1	0	0	9.493	3	1
0	1	0	0	16.614	3	0
0	0	0	0	21.478	2	0
0	0	1	0	16.41	9	0
0	1	0	0	17.417	1	1
0	0	1	0	11.378	2	1
0	1	0	0	15.738	1	1
0	2	0	0	13.236	9	1
0	1	0	0	20.43	1	0
0	0	0	0	18.996	2	2
0	1	1	0	15.202	4	0
1	2	1	0	13.897	4	0
1	0	0	0	15.18	6	2
0	2	0	1	14.107	4	0
0	1	1	0	18.942	1	1
0	2	1	0	11.621	1	2
0	1	1	0	14.255	4	1
1	2	0	0	8.636	3	1
0	1	0	0	16.943	1	0
0	0	1	0	14.78	3	0
0	1	0	0	9.368	3	0
0	1	0	0	10.685	4	1
0	0	1	0	16.899	3	3
0	1	0	0	11.26	1	1
1	1	0	0	15.588	9	1
1	1	0	0	15.846	4	1
0	2	0	0	15.867	3	1
0	0	0	0	12.786	5	1
0	1	0	0	18.653	6	0
0	1	0	0	16.254	2	1
0	0	1	0	17.215	1	2
0	1	1	0	14.737	8	2
0	2	0	0	14.829	1	1
0	1	1	2	13.515	1	1
0	1	0	0	9.134	4	0
1	1	0	0	13.026	4	0
0	0	1	0	20.691	9	1
1	1	0	0	11.9	9	2
0	0	0	0	10.958	9	0
0	2	1	0	17.839	3	0
0	1	1	0	16.289	3	1
0	0	0	0	9.525	4	3
0	0	1	1	9.693	3	1
0	0	1	1	12.044	1	0
1	1	1	1	11.075	1	1
0	1	1	0	21.458	5	0
0	1	1	0	20.25	4	3
0	0	0	0	15.661	4	2
0	0	1	0	11.04	3	2
0	2	0	0	13.975	1	1
0	1	0	0	22.888	8	2
1	2	1	2	16.564	2	0
1	2	0	0	13.065	2	1
0	2	0	0	16.596	2	0
0	1	1	0	14.478	2	1
0	0	0	1	14.315	2	0
