CLIMAORG	SATISFUSUARIO
1.6	52
1.667	64
1.7	59
1.733	54
1.75	47
1.75	62
1.75	47
1.75	58
1.75	48
1.75	54
1.783	52
1.783	46
1.8	54
1.8	51
1.8	53
1.8	53
1.817	60
1.817	59
1.817	46
1.833	54
1.833	59
1.833	54
1.833	63
1.833	46
1.833	46
1.833	57
1.85	54
1.85	58
1.867	48
1.867	50
1.867	51
1.867	47
1.867	45
1.867	53
1.867	49
1.867	50
1.883	58
1.883	51
1.883	55
1.883	54
1.917	45
1.917	49
1.933	52
1.933	49
1.95	51
1.967	55
1.967	56
1.967	56
1.983	62
1.983	59
1.983	43
2	59
2	58
2	55
2	56
2.017	52
2.017	60
2.017	49
2.033	53
2.033	51
2.067	65
2.083	57
2.083	57
2.1	53
2.1	49
2.1	60
2.133	67
2.15	46
2.167	52
2.167	48
2.183	55
2.2	60
2.2	45
2.2	54
2.217	50
2.233	59
2.233	60
2.25	51
2.25	60
2.267	55
2.283	62
2.3	59
2.317	50
2.333	64
2.35	47
2.367	63
2.383	71
2.4	65
2.4	53
2.417	50
2.417	54
2.483	62
2.617	53
2.633	65
2.8	56
2.883	55
2.9	63
3.067	69
3.317	83
3.333	74
3.333	74
3.333	74
3.333	68
3.367	66
3.417	64
3.45	78
3.5	66
3.5	87
3.567	71
3.567	73
3.6	79
3.6	85
3.6	83
3.6	83
3.683	81
3.717	71
3.733	79
3.75	75
3.767	81
3.767	83
3.817	80
3.833	74
3.833	64
3.833	78
3.833	75
3.833	82
3.85	78
3.85	84
3.883	76
3.917	84
3.917	70
3.917	71
3.95	76
3.95	79
3.966	77
3.967	89
4	71
4	86
4	77
4	70
4	85
4	78
4.033	80
4.033	82
4.05	81
4.067	73
4.067	69
4.083	76
4.083	93
4.083	84
4.083	78
4.083	70
4.1	70
4.1	84
4.117	79
4.117	81
4.133	75
4.133	91
4.15	86
4.15	76
4.15	75
4.15	88
4.167	78
4.167	83
4.167	81
4.167	74
4.183	86
4.2	78
4.233	81
4.233	81
4.233	76
4.25	79
4.25	77
4.25	83
4.25	83
4.267	82
4.267	78
4.283	77
4.283	79
4.3	73
4.3	72
4.317	81
4.333	82
4.333	90
4.333	89
4.333	76
4.333	81
4.35	85
4.35	80
4.35	82
4.35	74
4.366	77
4.367	88
4.367	77
4.367	82
4.383	82
4.4	92
4.417	79
4.417	87
4.417	83
4.417	90
4.433	79
4.433	78
4.45	90
4.45	83
4.45	83
4.467	77
4.467	74
4.483	75
4.5	84
4.5	79
4.5	83
4.5	82
4.5	81
4.5	73
4.5	83
4.5	73
4.517	80
4.533	85
4.533	74
4.533	73
4.533	82
4.533	84
4.55	79
4.567	84
4.567	77
4.567	78
4.583	76
4.583	77
4.583	77
4.583	85
4.6	85
4.6	88
4.6	81
4.6	78
4.617	93
4.633	82
4.633	81
4.633	80
4.65	90
4.667	84
4.667	78
4.7	88
4.7	83
4.7	78
4.7	73
4.7	84
4.7	80
4.716	90
4.733	75
4.75	75
4.767	78
4.783	90
4.8	84
4.8	75
4.8	82
4.8	81
4.8	76
4.8	94
4.817	78
4.817	77
4.833	80
4.833	80
4.85	86
4.883	83
4.9	82
4.9	89
4.933	88
4.933	86
4.933	86
5	88
5.033	77
5.067	76
5.1	96
