EDAD	TRABAJO	PESOFIN	EDUCACION	EDUCACIONNUM	ESTADOCIV	OCUPACION	RELACION	RAZA	SEXO	CAPGANADO	CAPPERD	HORASEMA	PAISC	INGRESO
39	 State-gov	77516	 Bachelors	13	 Nunca-casado	 Adm-clerical	 Not-in-family	 Blanca	 Masculino	2174	0	40	 Estados-Unidos	 <=50K
50	 Self-emp-not-inc	83311	 Bachelors	13	Casado-civil	 Exec-magerial	 Esposo	 Blanca	 Masculino	0	0	13	 Estados-Unidos	 <=50K
38	 Privado	215646	 HS-grad	9	Divorciado	 Handlers-cleaners	 Not-in-family	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
53	 Privado	234721	 11th	7	Casado-civil	 Handlers-cleaners	 Esposo	 Negra	 Masculino	0	0	40	 Estados-Unidos	 <=50K
28	 Privado	338409	 Bachelors	13	Casado-civil	 Prof-specialty	 Esposa	 Negra	 Femenino	0	0	40	 Cuba	 <=50K
37	 Privado	284582	 Masters	14	Casado-civil	 Exec-magerial	 Esposa	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
49	 Privado	160187	 9th	5	 Casado-conyuge-ausente	 Other-service	 Not-in-family	 Negra	 Femenino	0	0	16	 Jamaica	 <=50K
52	 Self-emp-not-inc	209642	 HS-grad	9	Casado-civil	 Exec-magerial	 Esposo	 Blanca	 Masculino	0	0	45	 Estados-Unidos	 >50K
31	 Privado	45781	 Masters	14	 Nunca-casado	 Prof-specialty	 Not-in-family	 Blanca	 Femenino	14084	0	50	 Estados-Unidos	 >50K
42	 Privado	159449	 Bachelors	13	Casado-civil	 Exec-magerial	 Esposo	 Blanca	 Masculino	5178	0	40	 Estados-Unidos	 >50K
37	 Privado	280464	 Some-college	10	Casado-civil	 Exec-magerial	 Esposo	 Negra	 Masculino	0	0	80	 Estados-Unidos	 >50K
30	 State-gov	141297	 Bachelors	13	Casado-civil	 Prof-specialty	 Esposo	 Asian-Pac-Islander	 Masculino	0	0	40	 India	 >50K
23	 Privado	122272	 Bachelors	13	 Nunca-casado	 Adm-clerical	Niño-propio	 Blanca	 Femenino	0	0	30	 Estados-Unidos	 <=50K
32	 Privado	205019	 Assoc-acdm	12	 Nunca-casado	 Sales	 Not-in-family	 Negra	 Masculino	0	0	50	 Estados-Unidos	 <=50K
40	 Privado	121772	 Assoc-voc	11	Casado-civil	 Craft-repair	 Esposo	 Asian-Pac-Islander	 Masculino	0	0	40		 >50K
34	 Privado	245487	 7th-8th	4	Casado-civil	 Transport-moving	 Esposo	 Amer-Indian-Eskimo	 Masculino	0	0	45	 Mexico	 <=50K
25	 Self-emp-not-inc	176756	 HS-grad	9	 Nunca-casado	 Farming-fishing	Niño-propio	 Blanca	 Masculino	0	0	35	 Estados-Unidos	 <=50K
32	 Privado	186824	 HS-grad	9	 Nunca-casado	 Machine-op-inspct	No-casado	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
38	 Privado	28887	 11th	7	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 <=50K
43	 Self-emp-not-inc	292175	 Masters	14	Divorciado	 Exec-magerial	No-casado	 Blanca	 Femenino	0	0	45	 Estados-Unidos	 >50K
40	 Privado	193524	 Doctorate	16	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	60	 Estados-Unidos	 >50K
54	 Privado	302146	 HS-grad	9	Separado	 Other-service	No-casado	 Negra	 Femenino	0	0	20	 Estados-Unidos	 <=50K
35	 Federal-gov	76845	 9th	5	Casado-civil	 Farming-fishing	 Esposo	 Negra	 Masculino	0	0	40	 Estados-Unidos	 <=50K
43	 Privado	117037	 11th	7	Casado-civil	 Transport-moving	 Esposo	 Blanca	 Masculino	0	2042	40	 Estados-Unidos	 <=50K
59	 Privado	109015	 HS-grad	9	Divorciado	 Tech-support	No-casado	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
56	 Local-gov	216851	 Bachelors	13	Casado-civil	 Tech-support	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 >50K
19	 Privado	168294	 HS-grad	9	 Nunca-casado	 Craft-repair	Niño-propio	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
54		180211	 Some-college	10	Casado-civil		 Esposo	 Asian-Pac-Islander	 Masculino	0	0	60	 South	 >50K
39	 Privado	367260	 HS-grad	9	Divorciado	 Exec-magerial	 Not-in-family	 Blanca	 Masculino	0	0	80	 Estados-Unidos	 <=50K
49	 Privado	193366	 HS-grad	9	Casado-civil	 Craft-repair	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
23	 Local-gov	190709	 Assoc-acdm	12	 Nunca-casado	 Protective-serv	 Not-in-family	 Blanca	 Masculino	0	0	52	 Estados-Unidos	 <=50K
20	 Privado	266015	 Some-college	10	 Nunca-casado	 Sales	Niño-propio	 Negra	 Masculino	0	0	44	 Estados-Unidos	 <=50K
45	 Privado	386940	 Bachelors	13	Divorciado	 Exec-magerial	Niño-propio	 Blanca	 Masculino	0	1408	40	 Estados-Unidos	 <=50K
30	 Federal-gov	59951	 Some-college	10	Casado-civil	 Adm-clerical	Niño-propio	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
22	 State-gov	311512	 Some-college	10	Casado-civil	 Other-service	 Esposo	 Negra	 Masculino	0	0	15	 Estados-Unidos	 <=50K
48	 Privado	242406	 11th	7	 Nunca-casado	 Machine-op-inspct	No-casado	 Blanca	 Masculino	0	0	40	 Puerto-Rico	 <=50K
21	 Privado	197200	 Some-college	10	 Nunca-casado	 Machine-op-inspct	Niño-propio	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
19	 Privado	544091	 HS-grad	9	 Married-AF-spouse	 Adm-clerical	 Esposa	 Blanca	 Femenino	0	0	25	 Estados-Unidos	 <=50K
31	 Privado	84154	 Some-college	10	Casado-civil	 Sales	 Esposo	 Blanca	 Masculino	0	0	38		 >50K
48	 Self-emp-not-inc	265477	 Assoc-acdm	12	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
31	 Privado	507875	 9th	5	Casado-civil	 Machine-op-inspct	 Esposo	 Blanca	 Masculino	0	0	43	 Estados-Unidos	 <=50K
53	 Self-emp-not-inc	88506	 Bachelors	13	Casado-civil	 Prof-specialty	 Esposo	 Blanca	 Masculino	0	0	40	 Estados-Unidos	 <=50K
24	 Privado	172987	 Bachelors	13	Casado-civil	 Tech-support	 Esposo	 Blanca	 Masculino	0	0	50	 Estados-Unidos	 <=50K
49	 Privado	94638	 HS-grad	9	Separado	 Adm-clerical	No-casado	 Blanca	 Femenino	0	0	40	 Estados-Unidos	 <=50K
25	 Privado	289980	 HS-grad	9	 Nunca-casado	 Handlers-cleaners	 Not-in-family	 Blanca	 Masculino	0	0	35	 Estados-Unidos	 <=50K
57	 Federal-gov	337895	 Bachelors	13	Casado-civil	 Prof-specialty	 Esposo	 Negra	 Masculino	0	0	40	 Estados-Unidos	 >50K
53	 Privado	144361	 HS-grad	9	Casado-civil	 Machine-op-inspct	 Esposo	 Blanca	 Masculino	0	0	38	 Estados-Unidos	 <=50K
