edad	trabajo	estciv	educacion	mora	balance	vivienda	prestamo	contacto	dia	mes	duracion	campana	pdias	previo	presultado	y
30	unemployed	married	primaria	no	1787	no	no	celular	19	oct	79	1	-1	0	desconocido	no
33	services	married	secundaria	no	4789	si	si	celular	11	may	220	1	339	4	fracaso	no
35	management	single	terciario	no	1350	si	no	celular	16	apr	185	1	330	1	fracaso	no
30	management	married	terciario	no	1476	si	si	desconocido	3	jun	199	4	-1	0	desconocido	no
59	blue-collar	married	secundaria	no	0	si	no	desconocido	5	may	226	1	-1	0	desconocido	no
35	management	single	terciario	no	747	no	no	celular	23	feb	141	2	176	3	fracaso	no
36	self-employed	married	terciario	no	307	si	no	celular	14	may	341	1	330	2	otro	no
39	technician	married	secundaria	no	147	si	no	celular	6	may	151	2	-1	0	desconocido	no
41	entrepreneur	married	terciario	no	221	si	no	desconocido	14	may	57	2	-1	0	desconocido	no
43	services	married	primaria	no	-88	si	si	celular	17	apr	313	1	147	2	fracaso	no
39	services	married	secundaria	no	9374	si	no	desconocido	20	may	273	1	-1	0	desconocido	no
43	admin.	married	secundaria	no	264	si	no	celular	17	apr	113	2	-1	0	desconocido	no
36	technician	married	terciario	no	1109	no	no	celular	13	aug	328	2	-1	0	desconocido	no
20	student	single	secundaria	no	502	no	no	celular	30	apr	261	1	-1	0	desconocido	si
31	blue-collar	married	secundaria	no	360	si	si	celular	29	jan	89	1	241	1	fracaso	no
40	management	married	terciario	no	194	no	si	celular	29	aug	189	2	-1	0	desconocido	no
56	technician	married	secundaria	no	4073	no	no	celular	27	aug	239	5	-1	0	desconocido	no
37	admin.	single	terciario	no	2317	si	no	celular	20	apr	114	1	152	2	fracaso	no
25	blue-collar	single	primaria	no	-221	si	no	desconocido	23	may	250	1	-1	0	desconocido	no
31	services	married	secundaria	no	132	no	no	celular	7	jul	148	1	152	1	otro	no
38	management	divorced	desconocido	no	0	si	no	celular	18	nov	96	2	-1	0	desconocido	no
42	management	divorced	terciario	no	16	no	no	celular	19	nov	140	3	-1	0	desconocido	no
44	services	single	secundaria	no	106	no	no	desconocido	12	jun	109	2	-1	0	desconocido	no
44	entrepreneur	married	secundaria	no	93	no	no	celular	7	jul	125	2	-1	0	desconocido	no
26	housemaid	married	terciario	no	543	no	no	celular	30	jan	169	3	-1	0	desconocido	no
41	management	married	terciario	no	5883	no	no	celular	20	nov	182	2	-1	0	desconocido	no
