mercadoid	merctamano	ubicacionid	edadubic	promo	semana	ventas
1.00	Grande	1.00	7.00	3.00	1.00	70.63
1.00	Grande	1.00	7.00	3.00	2.00	56.28
1.00	Grande	1.00	7.00	3.00	3.00	70.98
1.00	Grande	1.00	7.00	3.00	4.00	69.91
1.00	Grande	2.00	11.00	2.00	1.00	68.42
1.00	Grande	2.00	11.00	2.00	2.00	56.74
1.00	Grande	2.00	11.00	2.00	3.00	60.04
1.00	Grande	2.00	11.00	2.00	4.00	63.64
1.00	Grande	3.00	1.00	2.00	1.00	68.25
1.00	Grande	3.00	1.00	2.00	2.00	62.20
1.00	Grande	3.00	1.00	2.00	3.00	58.81
1.00	Grande	3.00	1.00	2.00	4.00	58.63
1.00	Grande	4.00	6.00	2.00	1.00	59.18
1.00	Grande	4.00	6.00	2.00	2.00	62.41
1.00	Grande	4.00	6.00	2.00	3.00	62.04
1.00	Grande	4.00	6.00	2.00	4.00	67.58
1.00	Grande	5.00	10.00	1.00	1.00	74.97
1.00	Grande	5.00	10.00	1.00	2.00	69.20
1.00	Grande	5.00	10.00	1.00	3.00	65.67
1.00	Grande	5.00	10.00	1.00	4.00	66.64
1.00	Grande	6.00	5.00	3.00	1.00	66.73
1.00	Grande	6.00	5.00	3.00	2.00	65.00
1.00	Grande	6.00	5.00	3.00	3.00	65.54
1.00	Grande	6.00	5.00	3.00	4.00	62.55
1.00	Grande	7.00	25.00	2.00	1.00	61.06
1.00	Grande	7.00	25.00	2.00	2.00	61.18
1.00	Grande	7.00	25.00	2.00	3.00	70.04
1.00	Grande	7.00	25.00	2.00	4.00	58.08
1.00	Grande	8.00	8.00	3.00	1.00	65.22
1.00	Grande	8.00	8.00	3.00	2.00	62.78
1.00	Grande	8.00	8.00	3.00	3.00	72.00
1.00	Grande	8.00	8.00	3.00	4.00	60.79
1.00	Grande	9.00	1.00	3.00	1.00	80.88
1.00	Grande	9.00	1.00	3.00	2.00	56.53
1.00	Grande	9.00	1.00	3.00	3.00	78.20
1.00	Grande	9.00	1.00	3.00	4.00	76.13
1.00	Grande	10.00	12.00	1.00	1.00	78.33
1.00	Grande	10.00	12.00	1.00	2.00	69.28
1.00	Grande	10.00	12.00	1.00	3.00	76.14
1.00	Grande	10.00	12.00	1.00	4.00	66.81
1.00	Grande	11.00	7.00	1.00	1.00	64.11
1.00	Grande	11.00	7.00	1.00	2.00	71.97
1.00	Grande	11.00	7.00	1.00	3.00	69.16
1.00	Grande	11.00	7.00	1.00	4.00	65.57
1.00	Grande	12.00	8.00	3.00	1.00	65.98
1.00	Grande	12.00	8.00	3.00	2.00	63.87
1.00	Grande	12.00	8.00	3.00	3.00	62.52
1.00	Grande	12.00	8.00	3.00	4.00	65.82
1.00	Grande	13.00	1.00	3.00	1.00	80.35
1.00	Grande	13.00	1.00	3.00	2.00	59.24
1.00	Grande	13.00	1.00	3.00	3.00	78.00
1.00	Grande	13.00	1.00	3.00	4.00	67.25
1.00	Grande	14.00	1.00	1.00	1.00	66.97
1.00	Grande	14.00	1.00	1.00	2.00	82.32
1.00	Grande	14.00	1.00	1.00	3.00	80.09
1.00	Grande	14.00	1.00	1.00	4.00	78.70
1.00	Grande	15.00	16.00	2.00	1.00	62.78
1.00	Grande	15.00	16.00	2.00	2.00	59.29
1.00	Grande	15.00	16.00	2.00	3.00	65.89
1.00	Grande	15.00	16.00	2.00	4.00	59.08
1.00	Grande	16.00	18.00	2.00	1.00	64.20
1.00	Grande	16.00	18.00	2.00	2.00	62.02
1.00	Grande	16.00	18.00	2.00	3.00	64.59
1.00	Grande	16.00	18.00	2.00	4.00	64.61
1.00	Grande	17.00	18.00	3.00	1.00	59.51
1.00	Grande	17.00	18.00	3.00	2.00	75.60
1.00	Grande	17.00	18.00	3.00	3.00	68.97
1.00	Grande	17.00	18.00	3.00	4.00	76.08
1.00	Grande	18.00	15.00	3.00	1.00	67.72
1.00	Grande	18.00	15.00	3.00	2.00	64.83
1.00	Grande	18.00	15.00	3.00	3.00	68.43
1.00	Grande	18.00	15.00	3.00	4.00	70.59
1.00	Grande	19.00	10.00	3.00	1.00	64.46
1.00	Grande	19.00	10.00	3.00	2.00	67.79
1.00	Grande	19.00	10.00	3.00	3.00	69.88
1.00	Grande	19.00	10.00	3.00	4.00	61.61
1.00	Grande	20.00	6.00	3.00	1.00	55.22
1.00	Grande	20.00	6.00	3.00	2.00	58.53
1.00	Grande	20.00	6.00	3.00	3.00	76.21
1.00	Grande	20.00	6.00	3.00	4.00	59.85
1.00	Grande	21.00	9.00	2.00	1.00	58.23
1.00	Grande	21.00	9.00	2.00	2.00	63.13
1.00	Grande	21.00	9.00	2.00	3.00	59.51
1.00	Grande	21.00	9.00	2.00	4.00	62.48
