Edad	Genero	CasaPropia	EstadoCiv	Ubicación	Salario	Niños	Historia	Catalogos	MontoDinero
Mayor	Mujer	Propia	Soltero	Lejos	47500	0	Alta	6	755
Adulto	Hombre	Alquilada	Soltero	Cerca	63600	0	Alta	6	1318
Joven	Mujer	Alquilada	Soltero	Cerca	13500	0	Baja	18	296
Adulto	Hombre	Propia	Casado	Cerca	85600	1	Alta	18	2436
Adulto	Mujer	Propia	Soltero	Cerca	68400	0	Alta	12	1304
Joven	Hombre	Propia	Casado	Cerca	30400	0	Baja	6	495
Adulto	Mujer	Alquilada	Soltero	Cerca	48100	0	Media	12	782
Adulto	Hombre	Propia	Soltero	Cerca	68400	0	Alta	18	1155
Adulto	Mujer	Propia	Casado	Cerca	51900	3	Baja	6	158
Mayor	Hombre	Propia	Casado	Lejos	80700	0	NA	18	3034
Joven	Hombre	Alquilada	Casado	Cerca	43700	1	NA	12	927
Adulto	Hombre	Propia	Casado	Lejos	111800	3	Alta	18	2065
Adulto	Mujer	Propia	Casado	Cerca	44100	1	Media	24	704
Adulto	Hombre	Propia	Casado	Cerca	111400	0	Alta	12	2136
Mayor	Mujer	Propia	Casado	Lejos	110000	0	Alta	24	5564
Adulto	Mujer	Propia	Casado	Lejos	83100	1	NA	12	2766
Mayor	Mujer	Propia	Casado	Cerca	82800	0	Alta	24	3010
Adulto	Hombre	Propia	Casado	Cerca	90100	0	Alta	18	1956
Adulto	Hombre	Alquilada	Soltero	Cerca	38600	1	Baja	18	542
Mayor	Mujer	Alquilada	Soltero	Lejos	14000	0	Baja	12	410
Joven	Mujer	Alquilada	Soltero	Lejos	14300	2	Baja	6	194
Joven	Hombre	Alquilada	Casado	Cerca	49800	0	Media	12	827
Mayor	Mujer	Alquilada	Casado	Lejos	60200	0	Alta	18	2328
Joven	Hombre	Alquilada	Casado	Lejos	43500	1	Media	12	808
Joven	Mujer	Alquilada	Casado	Cerca	41700	1	NA	6	521
Adulto	Mujer	Propia	Casado	Cerca	92300	3	Baja	18	655
Adulto	Hombre	Propia	Soltero	Cerca	62800	3	NA	6	707
Adulto	Mujer	Alquilada	Casado	Lejos	72900	0	Alta	18	2075
Adulto	Mujer	Alquilada	Casado	Cerca	66900	2	Media	12	769
Joven	Hombre	Alquilada	Soltero	Cerca	21700	1	NA	18	774
Mayor	Mujer	Alquilada	Casado	Cerca	39700	0	Media	12	573
Adulto	Hombre	Alquilada	Casado	Lejos	72200	1	Alta	12	2082
Adulto	Mujer	Alquilada	Casado	Cerca	87700	3	NA	24	2446
Adulto	Hombre	Propia	Casado	Cerca	104100	0	Alta	24	2636
Adulto	Hombre	Alquilada	Soltero	Lejos	67700	0	Alta	12	2226
Adulto	Mujer	Propia	Soltero	Cerca	27000	2	Baja	6	183
Adulto	Mujer	Propia	Soltero	Lejos	64100	2	Alta	24	1595
Adulto	Hombre	Alquilada	Soltero	Cerca	47000	1	Media	12	584
Mayor	Mujer	Propia	Casado	Cerca	41600	0	NA	18	982
Mayor	Mujer	Alquilada	Soltero	Cerca	20100	0	Baja	24	576
Adulto	Hombre	Propia	Soltero	Cerca	64000	3	Baja	12	410
Adulto	Mujer	Propia	Casado	Lejos	96800	3	NA	24	3082
Adulto	Hombre	Alquilada	Casado	Cerca	76200	1	NA	24	2437
Mayor	Mujer	Alquilada	Casado	Lejos	81500	0	Alta	18	3655
Adulto	Mujer	Propia	Soltero	Cerca	49600	1	Media	12	844
Mayor	Mujer	Propia	Casado	Cerca	111500	0	Alta	18	2510
Adulto	Hombre	Propia	Casado	Cerca	77700	0	NA	6	983
Joven	Hombre	Propia	Casado	Cerca	58900	0	NA	18	1215
Adulto	Hombre	Propia	Casado	Cerca	126500	2	Alta	18	2000
Adulto	Mujer	Propia	Casado	Cerca	83300	1	Alta	24	2574
Adulto	Mujer	Propia	Casado	Cerca	90500	1	Alta	6	1116
Adulto	Mujer	Propia	Casado	Lejos	87200	0	Alta	18	3604
Adulto	Mujer	Propia	Casado	Cerca	105300	1	NA	24	3360
Adulto	Mujer	Propia	Soltero	Lejos	56000	3	Media	6	530
Adulto	Mujer	Alquilada	Soltero	Cerca	46600	0	Media	24	906
Mayor	Hombre	Alquilada	Casado	Cerca	69800	0	Alta	24	2764
Adulto	Hombre	Propia	Soltero	Cerca	60300	0	Alta	24	1263
Joven	Hombre	Alquilada	Casado	Cerca	67800	0	Alta	12	1084
Adulto	Hombre	Alquilada	Soltero	Cerca	42300	0	Media	24	1051
Joven	Mujer	Propia	Casado	Lejos	33700	0	NA	6	614
Adulto	Hombre	Propia	Soltero	Cerca	62700	2	Media	12	704
Joven	Mujer	Propia	Soltero	Cerca	25900	2	NA	12	449
Joven	Mujer	Propia	Soltero	Cerca	15600	1	Baja	6	136
