Valoracion_credito	Edad	Ingresos	Tarjetas_credito	Educacion	Creditos_coche
Malo	36.22	Medio	5 o más	Bachillerato	2 o más
Malo	21.99	Medio	5 o más	Bachillerato	2 o más
Malo	29.17	Bajo	5 o más	Universitario	2 o más
Malo	32.75	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	36.77	Medio	5 o más	Bachillerato	2 o más
Malo	39.32	Medio	5 o más	Bachillerato	2 o más
Malo	31.70	Medio	5 o más	Bachillerato	2 o más
Malo	34.72	Bajo	5 o más	Universitario	2 o más
Malo	31.53	Bajo	5 o más	Universitario	2 o más
Malo	24.78	Medio	5 o más	Bachillerato	2 o más
Malo	22.76	Bajo	5 o más	Bachillerato	2 o más
Malo	45.97	Bajo	5 o más	Universitario	2 o más
Malo	29.39	Medio	5 o más	Universitario	2 o más
Malo	29.21	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	39.60	Bajo	5 o más	Universitario	2 o más
Malo	39.46	Bajo	5 o más	Bachillerato	2 o más
Malo	34.13	Bajo	5 o más	Bachillerato	2 o más
Malo	35.82	Medio	5 o más	Bachillerato	2 o más
Malo	35.97	Medio	5 o más	Bachillerato	2 o más
Malo	26.26	Alto	5 o más	Bachillerato	2 o más
Malo	21.52	Bajo	5 o más	Bachillerato	2 o más
Malo	29.23	Medio	5 o más	Universitario	2 o más
Malo	22.94	Bajo	5 o más	Bachillerato	2 o más
Malo	43.42	Medio	5 o más	Bachillerato	2 o más
Malo	20.16	Medio	5 o más	Universitario	2 o más
Malo	27.98	Medio	5 o más	Universitario	2 o más
Malo	29.49	Medio	5 o más	Bachillerato	2 o más
Malo	30.12	Medio	5 o más	Universitario	2 o más
Malo	25.43	Medio	5 o más	Bachillerato	2 o más
Malo	40.19	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	20.52	Bajo	5 o más	Bachillerato	2 o más
Malo	22.76	Bajo	5 o más	Universitario	2 o más
Malo	32.90	Medio	5 o más	Universitario	2 o más
Malo	33.21	Medio	5 o más	Universitario	2 o más
Malo	27.98	Alto	5 o más	Universitario	1 o ninguno
Malo	20.99	Medio	5 o más	Bachillerato	2 o más
Malo	28.61	Medio	5 o más	Bachillerato	2 o más
Malo	20.79	Medio	5 o más	Universitario	2 o más
Malo	20.71	Medio	5 o más	Universitario	1 o ninguno
Malo	24.48	Bajo	5 o más	Universitario	2 o más
Malo	47.16	Medio	5 o más	Bachillerato	2 o más
Malo	24.68	Medio	5 o más	Universitario	2 o más
Malo	30.81	Alto	5 o más	Universitario	2 o más
Malo	20.89	Bajo	5 o más	Universitario	2 o más
Malo	21.05	Medio	5 o más	Bachillerato	2 o más
Malo	32.43	Medio	5 o más	Universitario	2 o más
Malo	31.35	Medio	5 o más	Universitario	2 o más
Malo	22.93	Medio	5 o más	Bachillerato	2 o más
Malo	35.15	Medio	5 o más	Universitario	2 o más
Malo	24.69	Medio	Menos de 5	Bachillerato	1 o ninguno
Malo	37.33	Bajo	5 o más	Universitario	2 o más
Malo	30.70	Medio	5 o más	Universitario	2 o más
Malo	32.92	Bajo	5 o más	Universitario	2 o más
Malo	23.85	Bajo	5 o más	Bachillerato	2 o más
Malo	46.77	Bajo	5 o más	Universitario	2 o más
Malo	27.91	Medio	5 o más	Universitario	2 o más
Malo	46.44	Medio	5 o más	Bachillerato	1 o ninguno
Malo	20.66	Bajo	5 o más	Universitario	2 o más
Malo	20.96	Bajo	5 o más	Bachillerato	1 o ninguno
Malo	24.45	Medio	5 o más	Universitario	2 o más
Malo	27.06	Bajo	5 o más	Universitario	2 o más
Malo	38.06	Bajo	5 o más	Bachillerato	2 o más
Malo	22.99	Medio	5 o más	Bachillerato	2 o más
Malo	22.37	Bajo	5 o más	Bachillerato	2 o más
Malo	26.21	Bajo	5 o más	Universitario	2 o más
Malo	36.45	Medio	5 o más	Universitario	2 o más
Malo	22.72	Medio	5 o más	Bachillerato	2 o más
Malo	33.28	Bajo	5 o más	Bachillerato	2 o más
Malo	28.15	Medio	5 o más	Universitario	2 o más
Malo	44.13	Medio	5 o más	Universitario	1 o ninguno
Malo	24.89	Bajo	5 o más	Bachillerato	2 o más
Malo	21.87	Medio	5 o más	Universitario	2 o más
Malo	28.23	Bajo	5 o más	Universitario	1 o ninguno
Malo	36.98	Medio	5 o más	Bachillerato	2 o más
