|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9458 | 1574779672 | 2019-11-26 09:47:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9416 | 1574779732 | 2019-11-26 09:48:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9480 | 1574779792 | 2019-11-26 09:49:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9461 | 1574779852 | 2019-11-26 09:50:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9674 | 1574779912 | 2019-11-26 09:51:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9554 | 1574779972 | 2019-11-26 09:52:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9521 | 1574780032 | 2019-11-26 09:53:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9590 | 1574780092 | 2019-11-26 09:54:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9470 | 1574780152 | 2019-11-26 09:55:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9453 | 1574780212 | 2019-11-26 09:56:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9450 | 1574780272 | 2019-11-26 09:57:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9405 | 1574780332 | 2019-11-26 09:58:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9419 | 1574780392 | 2019-11-26 09:59:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9571 | 1574780452 | 2019-11-26 10:00:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9403 | 1574780512 | 2019-11-26 10:01:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9491 | 1574780572 | 2019-11-26 10:02:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9414 | 1574780632 | 2019-11-26 10:03:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9503 | 1574780692 | 2019-11-26 10:04:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9663 | 1574780752 | 2019-11-26 10:05:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9676 | 1574780812 | 2019-11-26 10:06:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9569 | 1574780872 | 2019-11-26 10:07:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9691 | 1574780932 | 2019-11-26 10:08:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9586 | 1574780992 | 2019-11-26 10:09:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9665 | 1574781052 | 2019-11-26 10:10:52    |
|  10438 | webmvmwlnxv11 |  55552 |  10438 | 1w      | 365d   |      0 |         91.9588 | 1574781112 | 2019-11-26 10:11:52    |
